0,1,1,dhin
1,1,2,dhin
2,0,1,dha
2.5,0,3,ge
3,0,2,ti
3.25,0,3,ra
3.5,0,3,ki
3.75,0,3,ta
4,1,1,tun
5,1,2,na
6,0,1,kat
7,0,1,ta
8,1,1,dha
8.5,1,3,ge
9,1,2,ti
9.25,1,3,ra
9.5,1,3,ki
9.75,1,3,ta
10,1,1,dhin
11,1,2,na
